Program Counter,Op,Reg A,Reg X,Reg Y,Fstring
32768,76,0,0,0,nvTBdzc
32772,162,0,0,0,nvTBdzc
32774,232,0,1,0,nvTBdzc
32775,134,0,2,0,nvTBdzc
32777,202,0,2,0,nvTBdzc
32778,138,0,1,0,nvTBdzc
32779,168,1,1,0,nvTBdzc
32780,132,1,1,1,nvTBdzc
32782,186,1,1,1,nvTBdzc
32784,2,1,255,1,NvTBdzc
